,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
0,KENT Ace,15999,21000,4.4,23.0,Free delivery,Electrical & Storage,5
2,Aqua Fresh,4514,16500,4.1,72.0,Free delivery,Electrical & Storage,12
3,Aquagrand SkyLand,4822,14500,4.0,66.0,Free delivery,Electrical & Storage,18
4,Pureit Advanced,7799,11399,4.5,31.0,Free delivery,Electrical & Storage,12
5,Pureit by,9499,18500,4.5,48.0,Free delivery,Electrical & Storage,20
6,V-Guard Zenora,8499,12749,4.3,33.0,Free delivery,Electrical & Storage,15
7,KENT PRISTINE,7999,10500,4.1,23.0,Free delivery,Electrical & Storage,5
8,KENT Ace,12999,19500,4.4,33.0,Free delivery,Electrical & Storage,5
9,Aquagrand AquaXCrux,4617,12500,4.3,63.0,Free delivery,Electrical & Storage,12
10,LIVPURE LIV-PEP-PRO-PLUS+,8499,15500,4.3,45.0,Free delivery,Electrical & Storage,12
11,KENT Ace,16299,21500,4.4,24.0,Free delivery,Electrical & Storage,5
12,Aqua Fresh,4793,13999,4.0,65.0,Free delivery,Electrical & Storage,12
13,Blue Star,7999,11400,4.1,29.0,Free delivery,Electrical & Storage,8
14,Pureit Vital,13499,19999,4.7,32.0,Free delivery,Electrical & Storage,24
15,Blue Star,8299,13400,4.0,38.0,Free delivery,Electrical & Storage,8
16,Aquaguard Glory,13999,22000,4.1,36.0,Free delivery,Electrical & Storage,5
17,Aqua Frisch,4929,20000,4.3,75.0,Free delivery,Electrical & Storage,15
18,Eureka Forbes,8799,16000,4.1,45.0,Free delivery,Electrical & Storage,5
19,KENT ACE,15499,20500,4.4,24.0,Free delivery,Electrical & Storage,5
20,Aqua Fresh,4413,9142,4.1,51.0,Free delivery,Electrical & Storage,5
21,Blue Star,8999,13900,4.1,35.0,Free delivery,Electrical & Storage,8
22,Pureit Max,11699,22500,4.5,48.0,Free delivery,Electrical & Storage,24
23,Blue Star,7999,13900,4.1,42.0,Free delivery,Electrical & Storage,5
24,Aqua Fresh,4374,14289,3.9,69.0,Free delivery,Electrical & Storage,5
25,Blue Star,11499,21900,4.3,47.0,Free delivery,Electrical & Storage,15
26,LIVPURE Liv-pep-pro-star,11299,16490,4.3,31.0,Free delivery,Electrical & Storage,5
28,LIVPURE LIV-BOLT+COPPER-DX(RO+UF+MIN),12112,15000,4.4,19.0,Free delivery,Electrical & Storage,15
29,MarQ by,4464,16500,4.1,72.0,Free delivery,Electrical & Storage,10
30,HAVELLS Aquas,7999,15999,4.4,50.0,Free delivery,Electrical & Storage,5
32,Aqua Frisch,5439,20000,4.2,72.0,Free delivery,Electrical & Storage,15
33,Sure from,5499,6950,3.8,20.0,Free delivery,Electrical & Non - Storage,5
34,V-Guard Zenora,8699,13049,4.3,33.0,Free delivery,Electrical & Storage,5
36,KENT MAXX,8500,10000,4.0,15.0,Free delivery,Electrical & Storage,60
37,Blue Star,11999,19900,4.2,39.0,Free delivery,Electrical & Storage,15
38,Eureka Forbes,7999,10500,4.2,23.0,Free delivery,Electrical & Non - Storage,5
40,KENT ULTRA,5499,9000,3.9,38.0,Free delivery,Electrical & Non - Storage,60
41,Hindware Calisto,7999,14990,4.0,46.0,Free delivery,Electrical & Storage,12
42,Kinsco Aqua,4679,20000,4.3,76.0,Free delivery,Electrical & Storage,15
43,HAVELLS FAB,13499,19999,4.2,32.0,Free delivery,Electrical & Storage,15
44,Aqua Fresh,4699,13999,3.9,66.0,Free delivery,Electrical & Storage,12
45,MarQ by,4369,16500,3.8,73.0,Free delivery,Electrical & Storage,10
46,Aquagrand Skyland,4595,15500,3.8,70.0,Free delivery,Electrical & Storage,12
48,Hindware CALISTO,18990,16599,4.3,43.5,Free delivery,Electrical & Storage,5
49,Aquagrand Epic,4457,14500,4.0,69.0,Free delivery,Electrical & Storage,12
50,Aqua Ace,4769,14999,4.1,68.0,Free delivery,Electrical & Storage,5
52,KENT gold,699,750,4.1,6.0,Free delivery,Non - Electrical & Non - Storage,5
53,Aquagrand Black,4644,14500,4.0,67.0,Free delivery,Electrical & Storage,10
56,LIVPURE Linea,11699,19690,4.1,40.0,Free delivery,Electrical & Storage,12
57,V-Guard Rejive,11149,18349,4.3,39.0,Free delivery,Electrical & Storage,15
58,Pureit by,18490,23500,4.3,21.0,Free delivery,Electrical & Storage,15
61,proven Water,5034,19990,4.0,74.0,Free delivery,Electrical & Storage,5
62,Aquaguard Rapid,22999,31000,4.0,25.0,Free delivery,Electrical & Storage,5
64,V-Guard Rejive,9499,15849,4.3,40.0,Free delivery,Electrical & Storage,15
65,V-Guard Rejive,13099,20549,4.3,36.0,Free delivery,Electrical & Storage,15
66,Pureit Marvella,8490,10490,4.6,19.0,Free delivery,Electrical & Storage,120
