,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
112,Aqua Fresh,4899,16999,3.9,71.0,Free delivery,Electrical & Storage,12
113,Kinsco Aqua,4699,20000,4.1,76.0,Free delivery,Electrical & Storage,15
114,AO Smith,30554,16599,4.4,43.5,Free delivery,Electrical & Storage,15
115,HAVELLS Gracia,21490,32999,4.5,34.0,Free delivery,Electrical & Storage,5
118,V-Guard Requpro,17999,31699,4.2,43.0,Free delivery,Electrical & Storage,20
119,AQUA SKYLND,3599,15500,3.7,76.0,Free delivery,Electrical & Storage,12
122,Pureit COPPER+,24899,32699,4.3,23.0,Free delivery,Electrical & Storage,5
123,MarQ by,4369,16500,4.2,73.0,Free delivery,Electrical & Storage,12
125,KENT 111149B,10100,11500,4.4,12.0,Free delivery,Electrical & Storage,5
128,Pureit CLASSIC,7749,10499,4.4,26.0,Free delivery,Electrical & Storage,5
129,MarQ by,4196,16500,3.8,74.0,Free delivery,Electrical & Storage,10
132,MarQ by,1299,2999,3.9,56.0,Free delivery,Non - Electrical & Non - Storage,5
133,Aquaguard Neo,9206,15000,4.0,38.0,Free delivery,Electrical & Storage,5
134,Always Royal,3199,11000,4.3,70.0,Free delivery,Electrical & Storage,5
135,V-Guard Rejive,10499,18349,4.3,42.0,Free delivery,Electrical & Storage,15
136,MarQ by,3999,16500,4.0,75.0,Free delivery,Electrical & Storage,12
138,V-Guard Rejive,10999,18349,4.3,40.0,Free delivery,Electrical & Storage,15
139,MarQ by,2429,9999,3.9,75.0,Free delivery,Electrical & Storage,5
142,V-Guard Rejive,11999,20849,4.3,42.0,Free delivery,Electrical & Storage,15
143,Aquaguard Copper,8500,15990,3.7,46.0,Free delivery,Electrical & Non - Storage,5
145,Grand plus,4299,16500,3.6,73.0,Free delivery,Electrical & Storage,4000
148,LIVPURE LIV-ZINGER-COPPER(WHITE)2K,16590,20213,3.9,17.0,Free delivery,Electrical & Storage,15
149,FABER FWP,9990,20490,4.0,51.0,Free delivery,Electrical & Storage,5
152,KENT Alkaline,1799,1950,3.9,7.0,Free delivery,Non - Electrical & Storage,5
153,MarQ by,3918,16500,3.9,76.0,Free delivery,Electrical & Storage,12
154,R.K. AQUA,4049,15999,4.0,74.0,Free delivery,Electrical & Storage,10
155,KENT Elegant,15399,19500,4.4,21.0,Free delivery,Electrical & Storage,15
158,KENT EXCELL+(11003),18900,20000,4.3,5.0,Free delivery,Electrical & Storage,15
