,ProductName,Price(₹),Original_cost(₹),Rating,Discount(%),Delivery_offers,Type_models,Capacity (L/hr)
560,Remino 10,349,999,4.1,65.0,Free delivery,Electrical & Storage,5
561,Aqua Active,8550,26000,3.4,67.0,Free delivery,Electrical & Storage,14
563,AO Smith,23589,25500,5.0,7.0,Delivery charges,Electrical & Storage,5
566,AQUA NINE,4899,14500,3.3,66.0,Free delivery,Electrical & Storage,12
567,KENT RO,20500,16599,4.3,43.5,Free delivery,Electrical & Storage,5
570,Nexus Aquafresh,5600,17421,4.3,67.0,Free delivery,Electrical & Storage,5
571,LIVPURE Touch,7629,8899,4.3,14.0,Free delivery,Electrical & Non - Storage,5
572,Aquaguard New,24179,38000,4.3,36.0,Free delivery,Electrical & Storage,5
573,WELLBERG STAR,5499,23999,4.3,77.0,Free delivery,Electrical & Storage,14
577,Kaveri AquaFresh,3840,14500,3.0,73.0,Free delivery,Electrical & Storage,15
578,AD-Teck Water,4500,12000,4.3,62.0,Free delivery,Electrical & Storage,18
580,AquaDart Alkaline,4599,18999,4.3,75.0,Free delivery,Electrical & Storage,12
581,AQUA Aqu,5599,11549,4.3,51.0,Delivery charges,Electrical & Storage,9
582,Grand plus,3798,16500,3.7,76.0,Free delivery,Electrical & Storage,5
583,Aqua Flow,5540,14999,3.8,63.0,Free delivery,Electrical & Storage,15
585,LIVPURE LIV-PEP-PRO-GRAND-COPPER,12990,16990,4.3,23.0,Free delivery,Electrical & Storage,15
586,AquaDpure Copper,4949,24999,4.3,80.0,Free delivery,Electrical & Storage,12
588,LIVPURE Linea,19600,19690,4.0,43.5,Free delivery,Electrical & Storage,12
589,Hydroshell Booster,1089,2399,4.3,54.0,Free delivery,Electrical & Storage,5
590,LIVPURE LIV-BOLT+COPPER,12990,17990,4.4,27.0,Free delivery,Electrical & Storage,5
592,Aqua Active,8500,19999,3.3,57.0,Free delivery,Electrical & Storage,14
593,E.F.M 25,5899,16999,4.3,65.0,Free delivery,Electrical & Non - Storage,25
596,Thunder well,15500,22500,4.3,31.0,Delivery charges,Electrical & Storage,5
597,AQUA STROM,3699,14500,4.3,74.0,Free delivery,Electrical & Storage,12
598,LIVPURE Bolt+,15800,17990,4.3,12.0,Delivery charges,Electrical & Storage,15
599,Musky By,918,2999,4.3,69.0,Delivery charges,Non - Electrical & Storage,5
601,Always Gravity,426,999,4.2,57.0,Free delivery,Non - Electrical & Storage,7
602,Aquaguard Astor,14640,22190,4.7,34.0,Free delivery,Electrical & Storage,5
603,R.K. AQUA,14399,15999,4.2,10.0,Free delivery,Electrical & Storage,5
606,GE FILTRATION,3400,10000,4.3,66.0,Delivery charges,Electrical & Storage,15
607,AquaDpure Water,4689,18999,3.6,75.0,Free delivery,Electrical & Storage,12
610,NILE AQUA,7199,9999,4.3,28.0,Free delivery,Electrical & Storage,10
611,HAADI SHIFT,14582,15980,3.5,8.0,Free delivery,Electrical & Storage,16
612,DPW AQUA,3788,16999,4.3,77.0,Free delivery,Electrical & Storage,12
613,Rama 8'',2380,3960,4.3,39.0,Delivery charges,Non - Electrical & Non - Storage,5
616,AQUA WATERLILY,5360,14999,3.2,64.0,Free delivery,Electrical & Storage,5
617,NILE Aqua,6139,13999,4.3,56.0,Free delivery,Electrical & Storage,5
620,Hindware CALISTO,9499,18990,3.9,49.0,Free delivery,Electrical & Storage,5
621,Grand plus,4342,16500,3.8,73.0,Free delivery,Electrical & Storage,5
622,Aqua Fresh,4441,16500,3.9,73.0,Free delivery,Electrical & Storage,12
623,LIVPURE Rental,11138,24999,3.7,55.0,Free delivery,Electrical & Storage,5
626,AquaActive Hot,12298,37000,3.2,66.0,Free delivery,Electrical & Storage,15
627,Remino Zinc,4899,24999,4.3,80.0,Free delivery,Electrical & Storage,12
630,Earth Ro,3630,15500,3.7,76.0,Free delivery,Electrical & Storage,12
631,Eureka Forbes,11690,13490,3.4,13.0,Free delivery,Electrical & Non - Storage,120
632,Noir Aqua,5999,12999,4.3,53.0,Free delivery,Electrical & Storage,15
633,Aqua Fresh,4599,13999,3.9,67.0,Free delivery,Electrical & Storage,12
636,Purosis Genric,19900,16599,4.3,43.5,Free delivery,Electrical & Storage,5
640,AquaDpure 25,6799,21999,4.5,69.0,Free delivery,Electrical & Non - Storage,5
641,Aqua Flow,5457,14999,3.8,63.0,Free delivery,Electrical & Storage,15
643,konvio neer,2799,4499,4.3,37.0,Free delivery,Non - Electrical & Storage,5
646,Aqua Fresh,4649,13999,4.3,66.0,Free delivery,Electrical & Storage,12
647,COMPTY Aqua-x-crux,3899,7999,4.3,51.0,Free delivery,Electrical & Storage,15
648,KENT PERK,50000,16599,3.8,43.5,Delivery charges,Electrical & Non - Storage,15
649,Keel Mineral,4212,16500,4.3,74.0,Free delivery,Electrical & Storage,20
652,Earth Delta,3799,14500,4.3,73.0,Free delivery,Electrical & Storage,15
653,E.F.M Booster,1049,2000,3.9,47.0,Free delivery,Electrical & Non - Storage,5
656,Oseas aqua,399,600,4.4,33.0,Free delivery,Electrical & Storage,5
657,Blair MISTY,5648,17690,3.8,68.0,Free delivery,Electrical & Storage,6000
658,BLVD 16L,1499,2899,4.3,48.0,Free delivery,Non - Electrical & Storage,16
662,E.F.M Alkaline,649,1249,5.0,48.0,Free delivery,Non - Electrical & Non - Storage,5
663,Purosis Purosis0,8887,10999,4.3,19.0,Delivery charges,Electrical & Storage,15
666,Remino 25,6799,18999,4.2,64.0,Free delivery,Electrical & Non - Storage,25
667,KENT STERLING,13300,18500,3.0,28.0,Free delivery,Electrical & Storage,25
668,blue bell,272,699,4.3,61.0,Delivery charges,Electrical & Storage,5
669,AO Smith,26000,31100,4.5,16.0,Delivery charges,Electrical & Storage,5
673,AQUA Royce,3699,14500,4.3,74.0,Free delivery,Electrical & Storage,15
676,AquaDart Premium,5399,17999,3.5,70.0,Free delivery,Electrical & Storage,5
677,Kinsco Copper,6399,20000,4.3,68.0,Free delivery,Electrical & Storage,15
678,AO Smith,16490,18400,4.0,10.0,Delivery charges,Electrical & Storage,15
679,Tata Swach,6500,7500,4.3,13.0,Delivery charges,Electrical & Non - Storage,5
682,Earth Aqua,3654,14500,4.3,74.0,Free delivery,Electrical & Storage,12
683,KENT PRIME,18800,20500,4.3,8.0,Free delivery,Electrical & Non - Storage,5
686,Kaveri AquaFresh,3547,15500,4.3,77.0,Free delivery,Electrical & Storage,12
687,Quantech 50,11499,29999,4.3,61.0,Free delivery,Electrical & Non - Storage,50
688,Earth Ro,3699,14500,3.8,74.0,Free delivery,Electrical & Storage,15
689,KENT ACE,19500,16599,4.3,43.5,Delivery charges,Electrical & Storage,5
692,KENT Sterling,18420,20000,5.0,7.0,Free delivery,Electrical & Storage,5
693,NILE AQUA,6199,9999,4.3,38.0,Free delivery,Electrical & Storage,1
696,LG ,21999,16599,4.3,43.5,Delivery charges,Electrical & Storage,10
698,ojhashree Wall,3190,8900,3.5,64.0,Free delivery,Electrical & Non - Storage,7000
699,Aquaguard Superio,17850,28000,4.3,36.0,Free delivery,Electrical & Storage,5
702,RUBY UA-SZCV-KDZS-12Stage,4999,15000,4.1,66.0,Free delivery,Electrical & Storage,15
703,AQUANZA HR-SV-001,279,449,4.3,37.0,Free delivery,Electrical & Non - Storage,5
706,blue bell,199,599,4.2,66.0,Delivery charges,Electrical & Storage,5
707,KENT 11042,7350,9500,4.3,22.0,Delivery charges,Electrical & Storage,5
708,AquaDpure RO+UV+UF+TDS,4999,14999,3.8,66.0,Free delivery,Electrical & Storage,12
709,AQUA DOVE,5199,12000,4.3,56.0,Free delivery,Electrical & Storage,5
713,Aquaguard SURE-7,10300,30500,4.3,66.0,Free delivery,Electrical & Storage,5
716,Blue Mount,7110,7900,4.3,10.0,Free delivery,Electrical & Storage,15
718,LIVPURE Rental,4793,10999,5.0,56.0,Free delivery,Electrical & Storage,5
719,DrinkPrime Rental,1499,14999,4.3,90.0,Free delivery,Electrical & Storage,5
722,Earth Ro,3499,14500,4.3,75.0,Free delivery,Electrical & Storage,12
723,Aquaguard Astor,14640,22190,4.3,34.0,Free delivery,Electrical & Storage,5
726,Zero B,29500,16599,4.3,43.5,Free delivery,Electrical & Storage,5
727,SUPER AQUAFRESH,4800,16500,4.3,70.0,Free delivery,Electrical & Storage,20
728,Aquafresh WAVAX,4599,13999,4.3,67.0,Free delivery,Electrical & Storage,12
729,Zero B,32500,16599,4.3,43.5,Free delivery,Electrical & Storage,5
732,ALAUKIK Rapid,4579,19990,4.0,77.0,Free delivery,Electrical & Storage,15
736,HAVELLS Active,8490,9999,4.0,15.0,Free delivery,Electrical & Storage,5
737,Hydroshell Booster,1089,2399,4.1,54.0,Free delivery,Electrical & Storage,5
738,g.s. aquafresh,3790,13999,4.3,72.0,Free delivery,Electrical & Storage,5
739,Freshhy ZETA,7440,12500,4.3,40.0,Delivery charges,Electrical & Storage,15
743,Earth Ro,5003,14500,4.3,65.0,Free delivery,Electrical & Storage,18
746,Aqua Fresh,4599,16500,4.0,72.0,Free delivery,Electrical & Storage,20
748,ojhashree Aquax,4590,15990,4.3,71.0,Free delivery,Electrical & Storage,10
749,Aqua Fresh,4999,15999,4.7,68.0,Free delivery,Electrical & Storage,12
753,Keel COPPER,3999,16500,3.6,75.0,Free delivery,Electrical & Storage,10
757,Aquaultra Mountain,3985,13450,4.3,70.0,Free delivery,Electrical & Storage,12
759,G Series,12999,15999,4.3,18.0,Free delivery,Electrical & Storage,5
763,Aqua Fresh,5099,12999,3.8,60.0,Free delivery,Electrical & Storage,12
767,AO Smith,19650,16599,3.2,43.5,Free delivery,Electrical & Non - Storage,5
